datetime,baseline,e,n,u,distance_m,nominal_distance_m,q,ns,status
04/09/2026 13:04:01.000,5000-5001,0.2626,0.1029,0.0091,0.2822,0.28,1,14,normal
04/09/2026 13:04:01.000,5000-5002,-0.2611,-0.0795,0.0174,0.2735,0.28,1,14,normal
04/09/2026 13:04:02.000,5000-5001,0.2625,0.1034,0.0133,0.2824,0.28,1,14,normal
04/09/2026 13:04:02.000,5000-5002,-0.2622,-0.0795,0.0214,0.2748,0.28,1,14,normal
04/09/2026 13:04:03.000,5000-5001,0.2631,0.1019,0.0094,0.2823,0.28,1,14,normal
04/09/2026 13:04:03.000,5000-5002,-0.2616,-0.0808,0.0173,0.2743,0.28,1,14,normal
04/09/2026 13:04:04.000,5000-5002,-0.262,-0.0781,0.0185,0.274,0.28,1,14,normal
04/09/2026 13:04:04.000,5000-5001,0.2633,0.1045,0.0112,0.2835,0.28,1,14,normal
04/09/2026 13:04:05.000,5000-5002,-0.2624,-0.0806,0.0175,0.2751,0.28,1,14,normal
04/09/2026 13:04:05.000,5000-5001,0.2636,0.1033,0.0085,0.2832,0.28,1,14,normal
04/09/2026 13:04:06.000,5000-5002,-0.2621,-0.0794,0.02,0.2746,0.28,1,14,normal
04/09/2026 13:04:06.000,5000-5001,0.2647,0.1038,0.0084,0.2844,0.28,1,14,normal
04/09/2026 13:04:07.000,5000-5001,0.2634,0.1021,0.0096,0.2827,0.28,1,14,normal
04/09/2026 13:04:07.000,5000-5002,-0.2615,-0.0812,0.0173,0.2744,0.28,1,14,normal
04/09/2026 13:04:08.000,5000-5001,0.2653,0.1036,0.0122,0.2851,0.28,1,14,normal
04/09/2026 13:04:08.000,5000-5002,-0.2613,-0.0801,0.018,0.2739,0.28,1,14,normal
04/09/2026 13:04:09.000,5000-5002,-0.2616,-0.0792,0.0219,0.2742,0.28,1,14,normal
04/09/2026 13:04:09.000,5000-5001,0.2634,0.1053,0.0111,0.2839,0.28,1,14,normal
04/09/2026 13:04:41.000,5000-5001,0.2655,0.1006,0.0097,0.2841,0.28,1,14,normal
04/09/2026 13:04:41.000,5000-5002,-0.261,-0.0818,0.0161,0.274,0.28,1,14,normal
04/09/2026 13:04:42.000,5000-5002,-0.2614,-0.0802,0.0159,0.2739,0.28,1,14,normal
04/09/2026 13:04:42.000,5000-5001,0.2647,0.102,0.0104,0.2839,0.28,1,14,normal
04/09/2026 13:04:43.000,5000-5001,0.2659,0.1031,0.0081,0.2853,0.28,1,14,normal
04/09/2026 13:04:43.000,5000-5002,-0.2597,-0.0793,0.0142,0.2719,0.28,1,14,normal
04/09/2026 13:04:44.000,5000-5002,-0.2591,-0.0798,0.0113,0.2713,0.28,1,14,normal
04/09/2026 13:04:44.000,5000-5001,0.2653,0.1024,0.0046,0.2844,0.28,1,14,normal
04/09/2026 13:04:45.000,5000-5001,0.2656,0.1038,0.0098,0.2853,0.28,1,14,normal
